"STATION","DATE","TAVG"
"USW00013904","2014-11-11","59"
"USW00013904","2014-11-12","44"
"USW00013904","2014-11-13","38"
"USW00013904","2014-11-14","35"
"USW00013904","2014-11-15","43"
"USW00013904","2014-11-16","48"
"USW00013904","2014-11-17","40"
"USW00013904","2014-11-18","39"
"USW00013904","2014-11-19","43"
"USW00013904","2014-11-20","51"
"USW00013904","2014-11-21","65"
"USW00013904","2014-11-22","66"
"USW00013904","2014-11-23","65"
"USW00013904","2014-11-24","58"
"USW00013904","2014-11-25","48"
"USW00013904","2014-11-26","53"
"USW00013904","2014-11-27","51"
"USW00013904","2014-11-28","49"
"USW00013904","2014-11-29","61"
"USW00013904","2014-11-30","70"
"USW00013904","2014-12-01","57"
"USW00013904","2014-12-02","43"
"USW00013904","2014-12-03","51"
"USW00013904","2014-12-04","61"
"USW00013904","2014-12-05","67"
"USW00013904","2014-12-06","60"
"USW00013904","2014-12-07","54"
"USW00013904","2014-12-08","55"
"USW00013904","2014-12-09","51"
"USW00013904","2014-12-10","53"
"USW00013904","2014-12-11","59"
"USW00013904","2014-12-12","64"
"USW00013904","2014-12-13","58"
"USW00013904","2014-12-14","67"
"USW00013904","2014-12-15","68"
"USW00013904","2014-12-16","49"
"USW00013904","2014-12-17","52"
"USW00013904","2014-12-18","52"
"USW00013904","2014-12-19","52"
"USW00013904","2014-12-20","51"
"USW00013904","2014-12-21","52"
"USW00013904","2014-12-22","60"
"USW00013904","2014-12-23","54"
"USW00013904","2014-12-24","48"
"USW00013904","2014-12-25","43"
"USW00013904","2014-12-26","59"
"USW00013904","2014-12-27","56"
"USW00013904","2014-12-28","41"
"USW00013904","2014-12-29","40"
"USW00013904","2014-12-30","43"
"USW00013904","2014-12-31","40"
"USW00013904","2015-01-01","38"
"USW00013904","2015-01-02","40"
"USW00013904","2015-01-03","44"
"USW00013904","2015-01-04","43"
"USW00013904","2015-01-05","35"
"USW00013904","2015-01-06","45"
"USW00013904","2015-01-07","46"
"USW00013904","2015-01-08","30"
"USW00013904","2015-01-09","36"
"USW00013904","2015-01-10","35"
"USW00013904","2015-01-11","38"
"USW00013904","2015-01-12","45"
"USW00013904","2015-01-13","40"
"USW00013904","2015-01-14","39"
"USW00013904","2015-01-15","44"
"USW00013904","2015-01-16","44"
"USW00013904","2015-01-17","51"
"USW00013904","2015-01-18","56"
"USW00013904","2015-01-19","49"
"USW00013904","2015-01-20","53"
"USW00013904","2015-01-21","54"
"USW00013904","2015-01-22","49"
"USW00013904","2015-01-23","42"
"USW00013904","2015-01-24","43"
"USW00013904","2015-01-25","52"
"USW00013904","2015-01-26","54"
"USW00013904","2015-01-27","58"
"USW00013904","2015-01-28","57"
"USW00013904","2015-01-29","61"
"USW00013904","2015-01-30","55"
"USW00013904","2015-01-31","51"
"USW00013904","2015-02-01","64"
"USW00013904","2015-02-02","44"
"USW00013904","2015-02-03","41"
"USW00013904","2015-02-04","46"
"USW00013904","2015-02-05","46"
"USW00013904","2015-02-06","44"
"USW00013904","2015-02-07","50"
"USW00013904","2015-02-08","61"
"USW00013904","2015-02-09","62"
"USW00013904","2015-02-10","59"
"USW00013904","2015-02-11","60"
"USW00013904","2015-02-12","55"
"USW00013904","2015-02-13","49"
"USW00013904","2015-02-14","57"
"USW00013904","2015-02-15","59"
"USW00013904","2015-02-16","54"
"USW00013904","2015-02-17","40"
"USW00013904","2015-02-18","44"
"USW00013904","2015-02-19","48"
"USW00013904","2015-02-20","61"
"USW00013904","2015-02-21","69"
"USW00013904","2015-02-22","56"
"USW00013904","2015-02-23","36"
"USW00013904","2015-02-24","32"
"USW00013904","2015-02-25","41"
"USW00013904","2015-02-26","40"
"USW00013904","2015-02-27","36"
"USW00013904","2015-02-28","33"
"USW00013904","2015-03-01","37"
"USW00013904","2015-03-02","41"
"USW00013904","2015-03-03","45"
"USW00013904","2015-03-04","60"
"USW00013904","2015-03-05","38"
"USW00013904","2015-03-06","35"
"USW00013904","2015-03-07","47"
"USW00013904","2015-03-08","52"
"USW00013904","2015-03-09","50"
"USW00013904","2015-03-10","55"
"USW00013904","2015-03-11","56"
"USW00013904","2015-03-12","59"
"USW00013904","2015-03-13","61"
"USW00013904","2015-03-14","63"
"USW00013904","2015-03-15","58"
"USW00013904","2015-03-16","60"
"USW00013904","2015-03-17","66"
"USW00013904","2015-03-18","69"
"USW00013904","2015-03-19","69"
"USW00013904","2015-03-20","68"
"USW00013904","2015-03-21","58"
"USW00013904","2015-03-22","63"
"USW00013904","2015-03-23","62"
"USW00013904","2015-03-24","66"
"USW00013904","2015-03-25","69"
"USW00013904","2015-03-26","65"
"USW00013904","2015-03-27","60"
"USW00013904","2015-03-28","61"
"USW00013904","2015-03-29","66"
"USW00013904","2015-03-30","69"
"USW00013904","2015-03-31","71"
"USW00013904","2015-04-01","71"
"USW00013904","2015-04-02","73"
"USW00013904","2015-04-03","74"
"USW00013904","2015-04-04","64"
"USW00013904","2015-04-05","61"
"USW00013904","2015-04-06","70"
"USW00013904","2015-04-07","74"
"USW00013904","2015-04-08","73"
"USW00013904","2015-04-09","75"
"USW00013904","2015-04-10","66"
"USW00013904","2015-04-11","63"
"USW00013904","2015-04-12","70"
"USW00013904","2015-04-13","73"
"USW00013904","2015-04-14","68"
"USW00013904","2015-04-15","65"
"USW00013904","2015-04-16","70"
"USW00013904","2015-04-17","69"
"USW00013904","2015-04-18","68"
"USW00013904","2015-04-19","70"
"USW00013904","2015-04-20","65"
"USW00013904","2015-04-21","63"
"USW00013904","2015-04-22","71"
"USW00013904","2015-04-23","72"
"USW00013904","2015-04-24","75"
"USW00013904","2015-04-25","78"
"USW00013904","2015-04-26","75"
"USW00013904","2015-04-27","72"
"USW00013904","2015-04-28","63"
"USW00013904","2015-04-29","60"
"USW00013904","2015-04-30","62"
"USW00013904","2015-05-01","65"
"USW00013904","2015-05-02","67"
"USW00013904","2015-05-03","67"
"USW00013904","2015-05-04","72"
"USW00013904","2015-05-05","73"
"USW00013904","2015-05-06","76"
"USW00013904","2015-05-07","76"
"USW00013904","2015-05-08","76"
"USW00013904","2015-05-09","76"
"USW00013904","2015-05-10","79"
"USW00013904","2015-05-11","74"
"USW00013904","2015-05-12","68"
"USW00013904","2015-05-13","67"
"USW00013904","2015-05-14","72"
"USW00013904","2015-05-15","72"
"USW00013904","2015-05-16","73"
"USW00013904","2015-05-17","74"
"USW00013904","2015-05-18","77"
"USW00013904","2015-05-19","78"
"USW00013904","2015-05-20","78"
"USW00013904","2015-05-21","71"
"USW00013904","2015-05-22","67"
"USW00013904","2015-05-23","76"
"USW00013904","2015-05-24","70"
"USW00013904","2015-05-25","74"
"USW00013904","2015-05-26","73"
"USW00013904","2015-05-27","76"
"USW00013904","2015-05-28","78"
"USW00013904","2015-05-29","75"
"USW00013904","2015-05-30","76"
"USW00013904","2015-05-31","72"
"USW00013904","2015-06-01","74"
"USW00013904","2015-06-02","76"
"USW00013904","2015-06-03","76"
"USW00013904","2015-06-04","77"
"USW00013904","2015-06-05","77"
"USW00013904","2015-06-06","78"
"USW00013904","2015-06-07","78"
"USW00013904","2015-06-08","79"
"USW00013904","2015-06-09","81"
"USW00013904","2015-06-10","81"
"USW00013904","2015-06-11","81"
"USW00013904","2015-06-12","82"
"USW00013904","2015-06-13","81"
"USW00013904","2015-06-14","78"
"USW00013904","2015-06-15","78"
"USW00013904","2015-06-16","77"
"USW00013904","2015-06-17","77"
"USW00013904","2015-06-18","78"
"USW00013904","2015-06-19","77"
"USW00013904","2015-06-20","78"
"USW00013904","2015-06-21","78"
"USW00013904","2015-06-22","78"
"USW00013904","2015-06-23","80"
"USW00013904","2015-06-24","80"
"USW00013904","2015-06-25","79"
"USW00013904","2015-06-26","82"
"USW00013904","2015-06-27","80"
"USW00013904","2015-06-28","79"
"USW00013904","2015-06-29","80"
"USW00013904","2015-06-30","80"
"USW00013904","2015-07-01","76"
"USW00013904","2015-07-02","77"
"USW00013904","2015-07-03","80"
"USW00013904","2015-07-04","81"
"USW00013904","2015-07-05","81"
"USW00013904","2015-07-06","83"
"USW00013904","2015-07-07","82"
"USW00013904","2015-07-08","82"
"USW00013904","2015-07-09","83"
"USW00013904","2015-07-10","80"
"USW00013904","2015-07-11","79"
"USW00013904","2015-07-12","82"
"USW00013904","2015-07-13","83"
"USW00013904","2015-07-14","83"
"USW00013904","2015-07-15","82"
"USW00013904","2015-07-16","82"
"USW00013904","2015-07-17","84"
"USW00013904","2015-07-18","85"
"USW00013904","2015-07-19","85"
"USW00013904","2015-07-20","83"
"USW00013904","2015-07-21","84"
"USW00013904","2015-07-22","85"
"USW00013904","2015-07-23","85"
"USW00013904","2015-07-24","85"
"USW00013904","2015-07-25","84"
"USW00013904","2015-07-26","84"
"USW00013904","2015-07-27","85"
"USW00013904","2015-07-28","85"
