"STATION","DATE","TOBS"
"USC00410433","2014-10-20","61"
"USC00410433","2014-10-21","56"
"USC00410433","2014-10-22","59"
"USC00410433","2014-10-23","63"
"USC00410433","2014-10-24","57"
"USC00410433","2014-10-25","59"
"USC00410433","2014-10-26","58"
"USC00410433","2014-10-27","62"
"USC00410433","2014-10-28","63"
"USC00410433","2014-10-29","66"
"USC00410433","2014-10-30","61"
"USC00410433","2014-10-31","56"
"USC00410433","2014-11-01","44"
"USC00410433","2014-11-02","48"
"USC00410433","2014-11-03","59"
"USC00410433","2014-11-04","67"
"USC00410433","2014-11-05","52"
"USC00410433","2014-11-06","52"
"USC00410433","2014-11-07","47"
"USC00410433","2014-11-08","49"
"USC00410433","2014-11-09","43"
"USC00410433","2014-11-10","46"
"USC00410433","2014-11-11","47"
"USC00410433","2014-11-12","34"
"USC00410433","2014-11-13","32"
"USC00410433","2014-11-14","32"
"USC00410433","2014-11-15","40"
"USC00410433","2014-11-16","47"
"USC00410433","2014-11-17","27"
"USC00410433","2014-11-18","27"
"USC00410433","2014-11-19","31"
"USC00410433","2014-11-20","45"
"USC00410433","2014-11-21","61"
"USC00410433","2014-11-22","63"
"USC00410433","2014-11-23","51"
"USC00410433","2014-11-24","42"
"USC00410433","2014-11-25","38"
"USC00410433","2014-11-26","40"
"USC00410433","2014-11-27","44"
"USC00410433","2014-11-28","46"
"USC00410433","2014-11-29","56"
"USC00410433","2014-11-30","65"
"USC00410433","2014-12-01","59"
"USC00410433","2014-12-02","37"
"USC00410433","2014-12-03","47"
"USC00410433","2014-12-04","57"
"USC00410433","2014-12-05","63"
"USC00410433","2014-12-06","53"
"USC00410433","2014-12-07","50"
"USC00410433","2014-12-08","49"
"USC00410433","2014-12-09","40"
"USC00410433","2014-12-10","48"
"USC00410433","2014-12-11","55"
"USC00410433","2014-12-12","55"
"USC00410433","2014-12-13","53"
"USC00410433","2014-12-14","61"
"USC00410433","2014-12-15","59"
"USC00410433","2014-12-16","43"
"USC00410433","2014-12-17","47"
"USC00410433","2014-12-18","47"
"USC00410433","2014-12-19","45"
"USC00410433","2014-12-20","46"
"USC00410433","2014-12-21","47"
"USC00410433","2014-12-22","55"
"USC00410433","2014-12-23","52"
"USC00410433","2014-12-24","38"
"USC00410433","2014-12-25","34"
"USC00410433","2014-12-26","54"
"USC00410433","2014-12-27","59"
"USC00410433","2014-12-28","33"
"USC00410433","2014-12-29","31"
"USC00410433","2014-12-30","42"
"USC00410433","2014-12-31","34"
"USC00410433","2015-01-01","32"
"USC00410433","2015-01-02","36"
"USC00410433","2015-01-03","36"
"USC00410433","2015-01-04","38"
"USC00410433","2015-01-05","27"
"USC00410433","2015-01-06","34"
"USC00410433","2015-01-07","41"
"USC00410433","2015-01-08","20"
"USC00410433","2015-01-09","35"
"USC00410433","2015-01-10","30"
"USC00410433","2015-01-11","34"
"USC00410433","2015-01-12","41"
"USC00410433","2015-01-13","33"
"USC00410433","2015-01-14","36"
"USC00410433","2015-01-15","35"
"USC00410433","2015-01-16","36"
"USC00410433","2015-01-17","40"
"USC00410433","2015-01-18","46"
"USC00410433","2015-01-19","39"
"USC00410433","2015-01-20","43"
"USC00410433","2015-01-21","48"
"USC00410433","2015-01-22","44"
"USC00410433","2015-01-23","37"
"USC00410433","2015-01-24","34"
"USC00410433","2015-01-25","41"
"USC00410433","2015-01-26","43"
"USC00410433","2015-01-27","49"
"USC00410433","2015-01-28","47"
"USC00410433","2015-01-29","50"
"USC00410433","2015-01-30","46"
"USC00410433","2015-01-31","48"
"USC00410433","2015-02-01","58"
"USC00410433","2015-02-02","31"
"USC00410433","2015-02-03","39"
"USC00410433","2015-02-04","42"
"USC00410433","2015-02-05","36"
"USC00410433","2015-02-06","36"
"USC00410433","2015-02-07","38"
"USC00410433","2015-02-08","58"
"USC00410433","2015-02-09","45"
"USC00410433","2015-02-10","45"
"USC00410433","2015-02-11","50"
"USC00410433","2015-02-12","43"
"USC00410433","2015-02-13","37"
"USC00410433","2015-02-14","50"
"USC00410433","2015-02-15","57"
"USC00410433","2015-02-16","39"
"USC00410433","2015-02-17","32"
"USC00410433","2015-02-18","33"
"USC00410433","2015-02-19","37"
"USC00410433","2015-02-20","57"
"USC00410433","2015-02-21","63"
"USC00410433","2015-02-22","53"
"USC00410433","2015-02-23","31"
"USC00410433","2015-02-24","28"
"USC00410433","2015-02-25","35"
"USC00410433","2015-02-26","30"
"USC00410433","2015-02-27","31"
"USC00410433","2015-02-28","29"
"USC00410433","2015-03-01","34"
"USC00410433","2015-03-02","36"
"USC00410433","2015-03-03","40"
"USC00410433","2015-03-04","59"
"USC00410433","2015-03-05","28"
"USC00410433","2015-03-06","24"
"USC00410433","2015-03-07","40"
"USC00410433","2015-03-08","47"
"USC00410433","2015-03-09","47"
"USC00410433","2015-03-10","48"
"USC00410433","2015-03-11","53"
"USC00410433","2015-03-12","51"
"USC00410433","2015-03-13","52"
"USC00410433","2015-03-14","53"
"USC00410433","2015-03-15","49"
"USC00410433","2015-03-16","52"
"USC00410433","2015-03-17","61"
"USC00410433","2015-03-18","59"
"USC00410433","2015-03-19","63"
"USC00410433","2015-03-20","66"
"USC00410433","2015-03-21","53"
"USC00410433","2015-03-22","55"
"USC00410433","2015-03-23","48"
"USC00410433","2015-03-24","57"
"USC00410433","2015-03-25","60"
"USC00410433","2015-03-26","52"
"USC00410433","2015-03-27","42"
"USC00410433","2015-03-28","46"
"USC00410433","2015-03-29","57"
"USC00410433","2015-03-30","64"
"USC00410433","2015-03-31","65"
"USC00410433","2015-04-01","67"
"USC00410433","2015-04-02","67"
"USC00410433","2015-04-03","68"
"USC00410433","2015-04-04","54"
"USC00410433","2015-04-05","59"
"USC00410433","2015-04-06","64"
